,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.060000000000000005,213,201,201,51699
0,0.060000000000000005,213,201,201,37281
0,0.060000000000000005,221,201,201,13196
0,0.060000000000000005,221,201,201,35501
0,0.060000000000000005,219,201,201,36068
0,0.060000000000000005,209,201,201,60941
0,0.060000000000000005,209,201,201,27336
0,0.060000000000000005,227,201,201,22921
0,0.060000000000000005,221,201,201,48267
0,0.060000000000000005,215,201,201,14778
0,0.060000000000000005,219,201,201,55937
0,0.060000000000000005,219,201,201,43663
0,0.060000000000000005,205,201,201,39049
0,0.060000000000000005,215,201,201,34714
0,0.060000000000000005,219,201,201,31079
0,0.060000000000000005,209,201,201,19889
0,0.060000000000000005,207,201,201,31455
0,0.060000000000000005,215,201,201,54450
0,0.060000000000000005,215,201,201,33243
0,0.060000000000000005,217,201,201,47669
0,0.060000000000000005,211,201,201,56720
0,0.060000000000000005,213,201,201,62906
0,0.060000000000000005,219,201,201,57217
0,0.060000000000000005,219,201,201,51939
0,0.060000000000000005,219,201,201,55961
0,0.060000000000000005,209,201,201,27437
0,0.060000000000000005,211,201,201,54730
0,0.060000000000000005,215,201,201,13316
0,0.060000000000000005,215,201,201,25249
0,0.060000000000000005,217,201,201,33258
0,0.060000000000000005,223,201,201,25704
0,0.060000000000000005,227,201,201,45007
0,0.060000000000000005,219,201,201,36871
0,0.060000000000000005,227,201,201,39394
0,0.07,217,201,201,43942
0,0.07,209,201,201,57957
0,0.07,207,201,201,50893
0,0.07,227,201,201,41227
0,0.07,223,201,201,47879
0,0.07,209,201,201,44420
0,0.07,233,201,201,42595
0,0.07,211,201,201,44552
0,0.07,229,201,201,52876
0,0.07,211,201,201,60905
0,0.07,215,201,201,35083
0,0.07,213,201,201,67354
0,0.07,213,201,201,33408
0,0.07,215,201,201,64115
0,0.07,213,201,201,48512
0,0.07,227,201,201,27283
0,0.07,225,201,201,59899
0,0.07,217,201,201,43932
0,0.07,217,201,201,72086
0,0.07,211,201,201,45999
0,0.07,213,201,201,40178
0,0.07,217,201,201,32406
0,0.07,213,201,201,23862
0,0.07,217,201,201,59485
0,0.07,235,201,201,67688
0,0.07,211,201,201,49411
0,0.07,229,201,201,26485
0,0.07,217,201,201,57482
0,0.07,225,201,201,46950
0,0.07,217,201,201,46210
0,0.07,223,201,201,35809
0,0.07,225,201,201,56790
0,0.07,217,201,201,44405
0,0.07,213,201,201,41866
0,0.07,213,201,201,34689
0,0.07,207,201,201,22420
0,0.07,219,201,201,34248
0,0.07,213,201,201,64103
0,0.07,225,201,201,40638
0,0.07,229,201,201,47366
0,0.07,209,201,201,27322
0,0.07,221,201,201,33698
0,0.07,231,201,201,39392
0,0.07,215,201,201,68150
0,0.07,221,201,201,50308
0,0.07,211,201,201,42734
0,0.07,215,201,201,67718
0,0.07,233,201,201,79799
0,0.07,233,201,201,44829
0,0.07,223,201,201,31903
